video,split
1_Corintios_10_parte-1,train
1_Corintios_10_parte-2,train
1_Corintios_10_parte-3,train
1_Corintios_10_parte-4,train
1_Corintios_10_parte-5,train
1_Corintios_10_parte-6,train
1_Corintios_10_parte-7,train
1_Corintios_11_parte-1,train
1_Corintios_11_parte-2,train
1_Corintios_11_parte-3,dev
1_Corintios_11_parte-4,test
1_Corintios_11_parte-5,train
1_Corintios_11_parte-6,train
1_Corintios_12_parte-1,train
1_Corintios_12_parte-2,train
1_Corintios_12_parte-3,test
1_Corintios_12_parte-4,dev
1_Corintios_12_parte-5,train
1_Corintios_12_parte-6,train
1_Corintios_13_parte-1,train
1_Corintios_13_parte-2,train
1_Corintios_13_parte-3,train
1_Corintios_14_parte-1,train
1_Corintios_14_parte-2,train
1_Corintios_14_parte-3,train
1_Corintios_14_parte-4,train
1_Corintios_14_parte-5,train
1_Corintios_15_parte-1,train
1_Corintios_15_parte-10,train
1_Corintios_15_parte-11,train
1_Corintios_15_parte-2,train
1_Corintios_15_parte-3,train
1_Corintios_15_parte-4,test
1_Corintios_15_parte-5,dev
1_Corintios_15_parte-6,train
1_Corintios_15_parte-7,train
1_Corintios_15_parte-8,train
1_Corintios_15_parte-9,train
1_Corintios_16_parte-1,train
1_Corintios_16_parte-2,train
1_Corintios_16_parte-3,train
1_Corintios_16_parte-4,train
1_Corintios_16_parte-5,train
1_Corintios_16_parte-6,train
1_Corintios_1_parte-1,train
1_Corintios_1_parte-2,train
1_Corintios_1_parte-3,train
1_Corintios_1_parte-4,train
1_Corintios_1_parte-5,train
1_Corintios_1_parte-6,train
1_Corintios_2_parte-1,train
1_Corintios_2_parte-2,dev
1_Corintios_2_parte-3,dev
1_Corintios_2_parte-4,train
1_Corintios_3_parte-1,train
1_Corintios_3_parte-2,train
1_Corintios_3_parte-3,train
1_Corintios_3_parte-4,train
1_Corintios_4_parte-1,train
1_Corintios_4_parte-2,dev
1_Corintios_4_parte-3,dev
1_Corintios_4_parte-4,train
1_Corintios_5_parte-1,train
1_Corintios_5_parte-2,train
1_Corintios_5_parte-3,train
1_Corintios_6_parte-1,train
1_Corintios_6_parte-2,train
1_Corintios_6_parte-3,train
1_Corintios_6_parte-4,test
1_Corintios_7_parte-1,train
1_Corintios_7_parte-2,train
1_Corintios_7_parte-3,train
1_Corintios_7_parte-4,train
1_Corintios_7_parte-5,train
1_Corintios_7_parte-6,train
1_Corintios_7_parte-7,train
1_Corintios_7_parte-8,train
1_Corintios_7_parte-9,train
1_Corintios_8_parte-1,train
1_Corintios_8_parte-2,test
1_Corintios_8_parte-3,train
1_Corintios_9_parte-1,dev
1_Corintios_9_parte-2,train
1_Corintios_9_parte-3,train
1_Corintios_9_parte-4,train
1_Corintios_9_parte-5,test
1_Cro_10_parte-1,train
1_Cro_10_parte-2,train
1_Cro_10_parte-3,dev
1_Cro_11_parte-1,train
1_Cro_11_parte-2,train
1_Cro_11_parte-3,train
1_Cro_11_parte-4,dev
1_Cro_11_parte-5,train
1_Cro_11_parte-6,train
1_Cro_11_parte-7,train
1_Cro_12_parte-1,train
1_Cro_12_parte-2,dev
